epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.8879,0,74.1092,0,0,0,0,0,0,85.6292,0,0.00014,0.00014,0.00014
2,44.2331,0,72.6213,0,0,0,0,0,0,85.0428,0,0.00029802,0.00029802,0.00029802
3,66.3053,0,71.0836,0,0,0,0,0,0,84.4935,0,0.000453928,0.000453928,0.000453928
4,88.317,0,69.3792,0,0,0,0,0,0,84.0854,0,0.000607724,0.000607724,0.000607724
5,109.484,0,67.8559,0,0,0,0,0,0,83.5535,0,0.000759408,0.000759408,0.000759408
6,131.49,0,66.2235,0,0,0,0,0,0,82.8525,0,0.00090898,0.00090898,0.00090898
7,153.324,0,64.5085,0,0,0,0,0,0,81.9532,0,0.00105644,0.00105644,0.00105644
8,175.111,0,63.0533,0,0,0,0,0,0,80.5151,0,0.00120179,0.00120179,0.00120179
9,196.8,0,62.0575,0,0,0,0,0,0,78.5271,0,0.00134502,0.00134502,0.00134502
10,218.502,0,60.0129,0,0,0,0,0,0,78.5271,0,0.00148615,0.00148615,0.00148615
11,241.577,0,59.368,0,0,0,0,0,0,75.1867,0,0.00162516,0.00162516,0.00162516
12,264.413,0,57.4565,0,0,0,0,0,0,75.1867,0,0.00176206,0.00176206,0.00176206
13,285.877,0,56.9403,0,0,0,0,0,0,70.0721,0,0.0018416,0.0018416,0.0018416
14,307.238,0,54.7355,0,0,0,0,0,0,70.0721,0,0.0018284,0.0018284,0.0018284
15,327.262,0,54.2038,0,0,0,0,0,0,64.3889,0,0.0018152,0.0018152,0.0018152
16,347.132,0,52.2538,0,0,0,0,0,0,64.3889,0,0.001802,0.001802,0.001802
17,366.964,0,51.6685,0,0,0,0,0,0,59.607,0,0.0017888,0.0017888,0.0017888
18,386.957,0,49.7733,0,0,0,0,0,0,59.607,0,0.0017756,0.0017756,0.0017756
19,406.67,0,49.2511,0,0,0,0,0,0,55.5405,0,0.0017624,0.0017624,0.0017624
20,426.636,0,47.6688,0,0,0,0,0,0,55.5405,0,0.0017492,0.0017492,0.0017492
21,446.577,0,47.1657,0,0,0,0,0,0,52.1966,0,0.001736,0.001736,0.001736
22,466.144,0,45.6988,0,0,0,0,0,0,52.1966,0,0.0017228,0.0017228,0.0017228
23,486.175,0,45.1926,0,0,0,0,0,0,49.1222,0,0.0017096,0.0017096,0.0017096
24,505.656,0,43.6766,0,0,0,0,0,0,49.1222,0,0.0016964,0.0016964,0.0016964
25,525.408,0,43.4149,0,0,0,0,0,0,46.8918,0,0.0016832,0.0016832,0.0016832
26,545.406,0,41.846,0,0,0,0,0,0,46.8918,0,0.00167,0.00167,0.00167
27,565.228,0,41.6247,0,0,0,0,0,0,44.7291,0,0.0016568,0.0016568,0.0016568
28,584.487,0,40.181,0,0,0,0,0,0,44.7291,0,0.0016436,0.0016436,0.0016436
29,604.133,0,39.9045,0,0,0,0,0,0,42.7682,0,0.0016304,0.0016304,0.0016304
30,623.72,0,38.7461,0,0,0,0,0,0,42.7682,0,0.0016172,0.0016172,0.0016172
31,643.907,0,38.4787,0,0,0,0,0,0,41.2617,0,0.001604,0.001604,0.001604
32,663.437,0,37.3342,0,0,0,0,0,0,41.2617,0,0.0015908,0.0015908,0.0015908
33,683.289,0,37.0547,0,0,0,0,0,0,39.7558,0,0.0015776,0.0015776,0.0015776
34,702.85,0,36.0664,0,0,0,0,0,0,39.7558,0,0.0015644,0.0015644,0.0015644
35,722.802,0,35.7217,0,0,0,0,0,0,38.6419,0,0.0015512,0.0015512,0.0015512
36,742.154,0,34.7731,0,0,0,0,0,0,38.6419,0,0.001538,0.001538,0.001538
37,761.705,0,34.506,0,0,0,0,0,0,37.4888,0,0.0015248,0.0015248,0.0015248
38,781.522,0,33.6146,0,0,0,0,0,0,37.4888,0,0.0015116,0.0015116,0.0015116
39,801.139,0,33.2653,0,0,0,0,0,0,36.0947,0,0.0014984,0.0014984,0.0014984
40,820.758,0,32.5587,0,0,0,0,0,0,36.0947,0,0.0014852,0.0014852,0.0014852
41,840.164,0,32.2675,0,0,0,0,0,0,34.8775,0,0.001472,0.001472,0.001472
42,859.559,0,31.5626,0,0,0,0,0,0,34.8775,0,0.0014588,0.0014588,0.0014588
43,879.422,0,31.2102,0,0,0,0,0,0,33.7653,0,0.0014456,0.0014456,0.0014456
44,899.02,0,30.6696,0,0,0,0,0,0,33.7653,0,0.0014324,0.0014324,0.0014324
45,918.713,0,30.3573,0,0,0,0,0,0,31.2105,0,0.0014192,0.0014192,0.0014192
46,938.392,0,29.6002,0,0,0,0,0,0,31.2105,0,0.001406,0.001406,0.001406
47,958.107,0,29.4049,0,0,0,0,0,0,30.4804,0,0.0013928,0.0013928,0.0013928
48,977.434,0,28.6687,0,0,0,0,0,0,30.4804,0,0.0013796,0.0013796,0.0013796
49,997.043,0,28.505,0,0,0,0,0,0,30.8104,0,0.0013664,0.0013664,0.0013664
50,1016.55,0,27.8567,0,0,0,0,0,0,30.8104,0,0.0013532,0.0013532,0.0013532
51,1036.07,0,27.7038,0,0,0,0,0,0,30.0823,0,0.00134,0.00134,0.00134
52,1055.74,0,27.0223,0,0,0,0,0,0,30.0823,0,0.0013268,0.0013268,0.0013268
53,1075.7,0,26.8081,0,0,0,0,0,0,29.2546,0,0.0013136,0.0013136,0.0013136
54,1096.43,0,26.3641,0,0,0,0,0,0,29.2546,0,0.0013004,0.0013004,0.0013004
55,1116.76,0,26.1097,0,0,0,0,0,0,28.6341,0,0.0012872,0.0012872,0.0012872
56,1136.18,0,25.5121,0,0,0,0,0,0,28.6341,0,0.001274,0.001274,0.001274
57,1156.89,0,25.4617,0,0,0,0,0,0,28.1618,0,0.0012608,0.0012608,0.0012608
58,1181.09,0,24.8282,0,0,0,0,0,0,28.1618,0,0.0012476,0.0012476,0.0012476
59,1206.74,0,24.6581,0,0,0,0,0,0,27.6088,0,0.0012344,0.0012344,0.0012344
60,1226.51,0,24.2228,0,0,0,0,0,0,27.6088,0,0.0012212,0.0012212,0.0012212
61,1246.54,0,24.0629,0,0,0,0,0,0,27.1596,0,0.001208,0.001208,0.001208
62,1266.49,0,23.5195,0,0,0,0,0,0,27.1596,0,0.0011948,0.0011948,0.0011948
63,1286.26,0,23.4335,0,0,0,0,0,0,26.5985,0,0.0011816,0.0011816,0.0011816
64,1306.29,0,22.921,0,0,0,0,0,0,26.5985,0,0.0011684,0.0011684,0.0011684
65,1326.11,0,22.7407,0,0,0,0,0,0,25.9933,0,0.0011552,0.0011552,0.0011552
66,1345.88,0,22.2885,0,0,0,0,0,0,25.9933,0,0.001142,0.001142,0.001142
67,1365.7,0,22.2269,0,0,0,0,0,0,25.4669,0,0.0011288,0.0011288,0.0011288
68,1385.28,0,21.7508,0,0,0,0,0,0,25.4669,0,0.0011156,0.0011156,0.0011156
69,1404.86,0,21.5847,0,0,0,0,0,0,25.0651,0,0.0011024,0.0011024,0.0011024
70,1425.1,0,21.1557,0,0,0,0,0,0,25.0651,0,0.0010892,0.0010892,0.0010892
71,1445.48,0,21.0228,0,0,0,0,0,0,24.6995,0,0.001076,0.001076,0.001076
72,1465.67,0,20.6355,0,0,0,0,0,0,24.6995,0,0.0010628,0.0010628,0.0010628
73,1485.73,0,20.5403,0,0,0,0,0,0,24.0066,0,0.0010496,0.0010496,0.0010496
74,1506.18,0,20.1067,0,0,0,0,0,0,24.0066,0,0.0010364,0.0010364,0.0010364
75,1527.24,0,19.9811,0,0,0,0,0,0,23.091,0,0.0010232,0.0010232,0.0010232
76,1547.14,0,19.6547,0,0,0,0,0,0,23.091,0,0.00101,0.00101,0.00101
77,1567.76,0,19.5261,0,0,0,0,0,0,21.9814,0,0.0009968,0.0009968,0.0009968
78,1588.44,0,19.1466,0,0,0,0,0,0,21.9814,0,0.0009836,0.0009836,0.0009836
79,1610.07,0,19.0464,0,0,0,0,0,0,21.7328,0,0.0009704,0.0009704,0.0009704
